file,line,startCol,endCol,type,value,score
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,26,45,233,HIGH_ENTROPY,'Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJWWGNRS1NWdTlFIiwiaWF0IjoxNzU3MjY3ODUyLCJleHAiOjE3NTcyNzE0NTIsInNjb3BlIjoicmVhZDphbGwifQ.7FUNI5REXzDELJXOTqPs9vtLRIc2-0OpOfcJ69r5cW8',5.575777400935314
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,26,53,232,JWT,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJWWGNRS1NWdTlFIiwiaWF0IjoxNzU3MjY3ODUyLCJleHAiOjE3NTcyNzE0NTIsInNjb3BlIjoicmVhZDphbGwifQ.7FUNI5REXzDELJXOTqPs9vtLRIc2-0OpOfcJ69r5cW8,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,28,0,133,HIGH_ENTROPY,"{""ts"":""2025-09-07T18:24:48Z"",""level"":""WARN"",""service"":""search"",""msg"":""request completed"",""user"":""catherine55"",""trace"":""NwpKAlQQfHxe""}",4.767988522969369
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,29,0,13,IPV4,187.13.70.141,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,29,88,154,HIGH_ENTROPY,"""Opera/9.25.(Windows NT 10.0; lv-LV) Presto/2.9.170 Version/10.00""",4.784416611842221
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,30,50,63,IPV4,172.20.130.17,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,31,45,59,IPV4,192.168.81.196,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,32,43,55,IPV4,10.239.2.100,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,1,0,133,HIGH_ENTROPY,"{""ts"":""2025-09-07T18:24:48Z"",""level"":""ERROR"",""service"":""search"",""msg"":""token refreshed"",""user"":""davisphillip"",""trace"":""lZieTX8Dcsmc""}",4.68651486448357
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,2,0,13,IPV4,23.180.12.142,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,2,91,228,HIGH_ENTROPY,"""Mozilla/5.0 (iPad; CPU iPad OS 15_8_2 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) FxiOS/14.2b4565.0 Mobile/74N801 Safari/536.2""",5.16677884574422
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,4,47,62,IPV4,192.168.242.142,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,6,45,60,IPV4,192.168.250.205,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,8,48,63,IPV4,192.168.116.128,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,9,0,129,HIGH_ENTROPY,"{""ts"":""2025-09-07T18:24:48Z"",""level"":""ERROR"",""service"":""orders"",""msg"":""db slow query"",""user"":""rhernandez"",""trace"":""cU36wNBrOY8d""}",4.829549375803822
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,12,0,12,IPV4,141.69.22.36,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,12,98,246,HIGH_ENTROPY,"""Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; ff-SN) AppleWebKit/533.43.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B115 Safari/6533.43.4""",5.151927332584824
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,14,0,130,HIGH_ENTROPY,"{""ts"":""2025-09-07T18:24:48Z"",""level"":""INFO"",""service"":""billing"",""msg"":""token refreshed"",""user"":""timothy84"",""trace"":""lFHy6JhqXqTC""}",4.8755907295732035
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,15,46,59,IPV4,172.28.38.116,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,16,0,15,IPV4,164.165.177.175,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,16,93,198,HIGH_ENTROPY,"""Mozilla/5.0 (Linux; Android 4.0.2) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/28.0.806.0 Safari/533.2""",5.099740341735912
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,17,47,60,IPV4,172.19.55.169,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,18,45,59,IPV4,10.243.142.231,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,19,0,121,HIGH_ENTROPY,"{""ts"":""2025-09-07T18:24:48Z"",""level"":""INFO"",""service"":""auth"",""msg"":""cache miss"",""user"":""manuel01"",""trace"":""pYFbxJKxDZJi""}",4.749915071892645
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,20,0,14,IPV4,142.220.178.27,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,20,92,240,HIGH_ENTROPY,"""Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; mk-MK) AppleWebKit/531.12.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6531.12.4""",5.194100136099595
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,23,0,138,HIGH_ENTROPY,"{""ts"":""2025-09-07T18:24:48Z"",""level"":""DEBUG"",""service"":""search"",""msg"":""user session created"",""user"":""alexisrogers"",""trace"":""63d1hHjtkku7""}",4.7347371948694255
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,24,49,61,IPV4,172.22.46.96,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,25,49,62,IPV4,172.26.126.96,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,26,0,130,HIGH_ENTROPY,"{""ts"":""2025-09-07T18:24:48Z"",""level"":""DEBUG"",""service"":""auth"",""msg"":""token refreshed"",""user"":""thomasboyle"",""trace"":""NU5Mv17Kc03b""}",4.839938914835382
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,27,45,58,IPV4,10.120.150.61,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,31,43,57,IPV4,172.27.244.188,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,32,0,13,IPV4,182.253.58.92,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,32,87,182,HIGH_ENTROPY,"""Mozilla/5.0 (Windows NT 5.0; sa-IN; rv:1.9.0.20) Gecko/6208-10-18 17:13:33.431168 Firefox/3.8""",5.01783524626543
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,32,127,135,IPV4,1.9.0.20,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,33,0,133,HIGH_ENTROPY,"{""ts"":""2025-09-07T18:24:48Z"",""level"":""DEBUG"",""service"":""billing"",""msg"":""request completed"",""user"":""tchambers"",""trace"":""s8y3NAp935k0""}",4.8357151860040295
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,34,47,61,IPV4,192.168.130.72,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,38,48,61,IPV4,10.178.14.229,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,39,0,135,HIGH_ENTROPY,"{""ts"":""2025-09-07T18:24:48Z"",""level"":""WARN"",""service"":""notify"",""msg"":""retrying upstream"",""user"":""jessicawalker"",""trace"":""eyGCWJr0NRNh""}",4.804681887892223
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,40,0,14,IPV4,65.116.126.216,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,40,95,160,HIGH_ENTROPY,"""Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/5.1)""",4.8851963213223994
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,41,0,133,HIGH_ENTROPY,"{""ts"":""2025-09-07T18:24:48Z"",""level"":""DEBUG"",""service"":""notify"",""msg"":""user session created"",""user"":""pmorrow"",""trace"":""zGccciTvZEHD""}",4.767358048991126
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,42,0,127,HIGH_ENTROPY,"{""ts"":""2025-09-07T18:24:48Z"",""level"":""WARN"",""service"":""notify"",""msg"":""retrying upstream"",""user"":""rreed"",""trace"":""kzNV1tLvG1GI""}",4.785835281809968
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,43,50,63,IPV4,10.57.198.197,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,44,0,14,IPV4,176.128.43.157,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,44,96,203,HIGH_ENTROPY,"""Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_6; rv:1.9.4.20) Gecko/6755-08-12 21:22:07.455597 Firefox/3.6.15""",5.102305572398357
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,44,145,153,IPV4,1.9.4.20,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,45,0,14,IPV4,207.12.154.204,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000007.txt,45,95,228,HIGH_ENTROPY,"""Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_3 rv:4.0; mag-IN) AppleWebKit/533.45.4 (KHTML, like Gecko) Version/4.1 Safari/533.45.4""",5.276089654798363
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000005.txt,1,0,124,HIGH_ENTROPY,"{""ts"":""2025-09-07T18:24:48Z"",""level"":""WARN"",""service"":""billing"",""msg"":""cache miss"",""user"":""wareeric"",""trace"":""VAHhVeECXxGL""}",4.764910984784085
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000005.txt,2,0,133,HIGH_ENTROPY,"{""ts"":""2025-09-07T18:24:48Z"",""level"":""INFO"",""service"":""notify"",""msg"":""retrying upstream"",""user"":""craigjoseph"",""trace"":""DP9bdE2zBRgF""}",4.910819067498312
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000005.txt,4,42,54,IPV4,172.25.16.90,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000005.txt,6,0,123,HIGH_ENTROPY,"{""ts"":""2025-09-07T18:24:48Z"",""level"":""ERROR"",""service"":""search"",""msg"":""cache miss"",""user"":""keith10"",""trace"":""Av0DzAUguBuQ""}",4.6735069368407824
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000005.txt,7,0,132,HIGH_ENTROPY,"{""ts"":""2025-09-07T18:24:48Z"",""level"":""ERROR"",""service"":""billing"",""msg"":""request completed"",""user"":""lburgess"",""trace"":""1ffBgVVxZiJd""}",4.7697893788983095
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000005.txt,8,49,62,IPV4,10.117.209.18,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000005.txt,10,0,124,HIGH_ENTROPY,"{""ts"":""2025-09-07T18:24:48Z"",""level"":""DEBUG"",""service"":""search"",""msg"":""cache miss"",""user"":""darius05"",""trace"":""2gw2JxhWrKoZ""}",4.697038476118552
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000005.txt,11,0,14,IPV4,111.92.142.144,2.0
